,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
92,2025-04-16 04:44:05.271451+08:00,2025-04-16 04:44:05.271451+08:00,HSI,戊寅,乙卯,庚申,癸未,庚辰,乙巳,庚子,乙亥,乙巳,乙卯,辛辰,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6095552106807409500,2025-06-03 20:44:24.653074+08:00,2025,4,16,4,2,2,False,False,False,False,False,False,106,16,戊,寅,0.587785,-0.809017,0.866025,0.5,乙,卯,0.587785,0.809017,1,6.12323e-17,庚,申,-0.587785,-0.809017,-0.866025,-0.5,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,辰,-0.587785,-0.809017,0.866025,-0.5,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,乙,亥,0.587785,0.809017,-0.5,0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,沐浴,衰,冠帶,臨官,絕,沐浴,長生,墓庫,養,胎,帝旺,胎,絕,衰,墓庫,死,沐浴,帝旺,臨官,養,冠帶,沐浴,死,死,病,冠帶,衰,帝旺,胎,絕,胎,冠帶,養,長生,病
93,2025-04-17 04:44:05.271451+08:00,2025-04-17 04:44:05.271451+08:00,HSI,庚寅,丙辰,辛酉,乙未,庚辰,乙巳,庚子,乙亥,丁巳,丙辰,壬辰,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,1386389310359303802,2025-06-03 20:44:24.653074+08:00,2025,4,17,4,3,2,False,False,False,False,False,False,107,16,庚,寅,-0.587785,-0.809017,0.866025,0.5,丙,辰,0.951057,0.309017,0.866025,-0.5,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,乙,未,0.587785,0.809017,-0.5,-0.866025,庚,辰,-0.587785,-0.809017,0.866025,-0.5,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,乙,亥,0.587785,0.809017,-0.5,0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,冠帶,衰,冠帶,臨官,絕,沐浴,養,墓庫,養,胎,帝旺,胎,墓庫,衰,墓庫,死,沐浴,帝旺,冠帶,養,冠帶,沐浴,死,死,衰,冠帶,衰,帝旺,胎,絕,養,冠帶,養,長生,病
94,2025-04-18 04:44:05.271451+08:00,2025-04-18 04:44:05.271451+08:00,HSI,壬寅,丁巳,壬戌,丁未,庚辰,乙巳,庚子,乙亥,己巳,丁巳,壬辰,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,18153738435723278217,2025-06-03 20:44:24.653074+08:00,2025,4,18,4,4,2,False,False,False,False,False,False,108,16,壬,寅,-0.951057,0.309017,0.866025,0.5,丁,巳,0.951057,-0.309017,0.5,-0.866025,壬,戌,-0.951057,0.309017,-0.866025,0.5,丁,未,0.951057,-0.309017,-0.5,-0.866025,庚,辰,-0.587785,-0.809017,0.866025,-0.5,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,乙,亥,0.587785,0.809017,-0.5,0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,臨官,衰,冠帶,臨官,絕,沐浴,胎,墓庫,養,胎,帝旺,胎,死,衰,墓庫,死,沐浴,帝旺,沐浴,養,冠帶,沐浴,死,死,帝旺,冠帶,衰,帝旺,胎,絕,長生,冠帶,養,長生,病
95,2025-04-21 04:44:05.271451+08:00,2025-04-21 04:44:05.271451+08:00,HSI,戊寅,庚申,乙丑,癸未,乙未,乙巳,庚子,庚寅,乙巳,庚申,丁未,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,3722160746423143672,2025-06-03 20:44:24.653074+08:00,2025,4,21,4,0,2,False,False,False,False,False,False,111,17,戊,寅,0.587785,-0.809017,0.866025,0.5,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,癸,未,-0.587785,0.809017,-0.5,-0.866025,乙,未,0.587785,0.809017,-0.5,-0.866025,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,病,衰,衰,臨官,長生,沐浴,死,墓庫,墓庫,胎,沐浴,胎,帝旺,衰,衰,死,胎,帝旺,胎,養,養,沐浴,帝旺,死,沐浴,冠帶,冠帶,帝旺,死,絕,臨官,冠帶,冠帶,長生,絕
96,2025-04-22 04:44:05.271451+08:00,2025-04-22 04:44:05.271451+08:00,HSI,庚寅,辛酉,丙寅,乙未,乙未,乙巳,庚子,庚寅,丁巳,辛酉,丁未,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,1601272795988534559,2025-06-03 20:44:24.653074+08:00,2025,4,22,4,1,2,False,False,False,False,False,False,112,17,庚,寅,-0.587785,-0.809017,0.866025,0.5,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,丙,寅,0.951057,0.309017,0.866025,0.5,乙,未,0.587785,0.809017,-0.5,-0.866025,乙,未,0.587785,0.809017,-0.5,-0.866025,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,死,衰,衰,臨官,長生,沐浴,病,墓庫,墓庫,胎,沐浴,胎,臨官,衰,衰,死,胎,帝旺,絕,養,養,沐浴,帝旺,死,長生,冠帶,冠帶,帝旺,死,絕,帝旺,冠帶,冠帶,長生,絕
97,2025-04-23 04:44:05.271451+08:00,2025-04-23 04:44:05.271451+08:00,HSI,壬寅,壬戌,丁卯,丁未,乙未,乙巳,庚子,庚寅,己巳,壬戌,丁未,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,9541120503309515505,2025-06-03 20:44:24.653074+08:00,2025,4,23,4,2,2,False,False,False,False,False,False,113,17,壬,寅,-0.951057,0.309017,0.866025,0.5,壬,戌,-0.951057,0.309017,-0.866025,0.5,丁,卯,0.951057,-0.309017,1,6.12323e-17,丁,未,0.951057,-0.309017,-0.5,-0.866025,乙,未,0.587785,0.809017,-0.5,-0.866025,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,墓庫,衰,衰,臨官,長生,沐浴,衰,墓庫,墓庫,胎,沐浴,胎,冠帶,衰,衰,死,胎,帝旺,墓庫,養,養,沐浴,帝旺,死,養,冠帶,冠帶,帝旺,死,絕,衰,冠帶,冠帶,長生,絕
98,2025-04-24 04:44:05.271451+08:00,2025-04-24 04:44:05.271451+08:00,HSI,甲寅,癸亥,戊辰,己未,乙未,乙巳,庚子,庚寅,辛巳,癸亥,戊未,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,623379719523164003,2025-06-03 20:44:24.653074+08:00,2025,4,24,4,3,2,False,False,False,False,False,False,114,17,甲,寅,0,1,0.866025,0.5,癸,亥,-0.587785,0.809017,-0.5,0.866025,戊,辰,0.587785,-0.809017,0.866025,-0.5,己,未,1.22465e-16,-1,-0.5,-0.866025,乙,未,0.587785,0.809017,-0.5,-0.866025,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,絕,衰,衰,臨官,長生,沐浴,帝旺,墓庫,墓庫,胎,沐浴,胎,沐浴,衰,衰,死,胎,帝旺,死,養,養,沐浴,帝旺,死,胎,冠帶,冠帶,帝旺,死,絕,病,冠帶,冠帶,長生,絕
99,2025-04-25 04:44:05.271451+08:00,2025-04-25 04:44:05.271451+08:00,HSI,丙寅,甲子,己巳,辛未,乙未,乙巳,庚子,庚寅,癸巳,甲子,戊未,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,2138277393043339433,2025-06-03 20:44:24.653074+08:00,2025,4,25,4,4,2,False,False,False,False,False,False,115,17,丙,寅,0.951057,0.309017,0.866025,0.5,甲,子,0,1,0,1,己,巳,1.22465e-16,-1,0.5,-0.866025,辛,未,-0.951057,-0.309017,-0.5,-0.866025,乙,未,0.587785,0.809017,-0.5,-0.866025,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,胎,衰,衰,臨官,長生,沐浴,臨官,墓庫,墓庫,胎,沐浴,胎,長生,衰,衰,死,胎,帝旺,病,養,養,沐浴,帝旺,死,絕,冠帶,冠帶,帝旺,死,絕,死,冠帶,冠帶,長生,絕
100,2025-04-28 04:44:05.271451+08:00,2025-04-28 04:44:05.271451+08:00,HSI,壬寅,丁卯,壬申,丁未,乙未,乙巳,庚子,庚寅,己巳,丁卯,癸未,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,12848573040612787384,2025-06-03 20:44:24.653074+08:00,2025,4,28,4,0,2,False,False,False,False,False,False,118,18,壬,寅,-0.951057,0.309017,0.866025,0.5,丁,卯,0.951057,-0.309017,1,6.12323e-17,壬,申,-0.951057,0.309017,-0.866025,-0.5,丁,未,0.951057,-0.309017,-0.5,-0.866025,乙,未,0.587785,0.809017,-0.5,-0.866025,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,沐浴,衰,衰,臨官,長生,沐浴,長生,墓庫,墓庫,胎,沐浴,胎,絕,衰,衰,死,胎,帝旺,臨官,養,養,沐浴,帝旺,死,病,冠帶,冠帶,帝旺,死,絕,胎,冠帶,冠帶,長生,絕
101,2025-04-29 04:44:05.271451+08:00,2025-04-29 04:44:05.271451+08:00,HSI,甲寅,戊辰,癸酉,己未,乙未,乙巳,庚子,庚寅,辛巳,戊辰,癸未,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,5451555018147508354,2025-06-03 20:44:24.653074+08:00,2025,4,29,4,1,2,False,False,False,False,False,False,119,18,甲,寅,0,1,0.866025,0.5,戊,辰,0.587785,-0.809017,0.866025,-0.5,癸,酉,-0.587785,0.809017,-1,-1.83697e-16,己,未,1.22465e-16,-1,-0.5,-0.866025,乙,未,0.587785,0.809017,-0.5,-0.866025,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,冠帶,衰,衰,臨官,長生,沐浴,養,墓庫,墓庫,胎,沐浴,胎,墓庫,衰,衰,死,胎,帝旺,冠帶,養,養,沐浴,帝旺,死,衰,冠帶,冠帶,帝旺,死,絕,養,冠帶,冠帶,長生,絕
102,2025-04-30 04:44:05.271451+08:00,2025-04-30 04:44:05.271451+08:00,HSI,丙寅,己巳,甲戌,辛未,乙未,乙巳,庚子,庚寅,癸巳,己巳,甲未,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,16361276601896664594,2025-06-03 20:44:24.653074+08:00,2025,4,30,4,2,2,False,True,False,False,False,False,120,18,丙,寅,0.951057,0.309017,0.866025,0.5,己,巳,1.22465e-16,-1,0.5,-0.866025,甲,戌,0,1,-0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,乙,未,0.587785,0.809017,-0.5,-0.866025,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,臨官,衰,衰,臨官,長生,沐浴,胎,墓庫,墓庫,胎,沐浴,胎,死,衰,衰,死,胎,帝旺,沐浴,養,養,沐浴,帝旺,死,帝旺,冠帶,冠帶,帝旺,死,絕,長生,冠帶,冠帶,長生,絕
103,2025-05-01 04:44:05.271451+08:00,2025-05-01 04:44:05.271451+08:00,HSI,戊寅,庚午,乙亥,癸未,乙未,乙巳,庚子,庚寅,乙巳,庚午,甲未,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,12212368421546951616,2025-06-03 20:44:24.653074+08:00,2025,5,1,4,3,2,True,False,False,False,False,False,121,18,戊,寅,0.587785,-0.809017,0.866025,0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,未,-0.587785,0.809017,-0.5,-0.866025,乙,未,0.587785,0.809017,-0.5,-0.866025,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,帝旺,衰,衰,臨官,長生,沐浴,絕,墓庫,墓庫,胎,沐浴,胎,病,衰,衰,死,胎,帝旺,長生,養,養,沐浴,帝旺,死,臨官,冠帶,冠帶,帝旺,死,絕,沐浴,冠帶,冠帶,長生,絕
104,2025-05-02 04:44:05.271451+08:00,2025-05-02 04:44:05.271451+08:00,HSI,庚寅,辛未,丙子,乙未,乙未,乙巳,庚子,庚寅,丁巳,辛未,甲未,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,13241777038879965845,2025-06-03 20:44:24.653074+08:00,2025,5,2,4,4,2,False,False,False,False,False,False,122,18,庚,寅,-0.587785,-0.809017,0.866025,0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,丙,子,0.951057,0.309017,0,1,乙,未,0.587785,0.809017,-0.5,-0.866025,乙,未,0.587785,0.809017,-0.5,-0.866025,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,衰,衰,衰,臨官,長生,沐浴,墓庫,墓庫,墓庫,胎,沐浴,胎,衰,衰,衰,死,胎,帝旺,養,養,養,沐浴,帝旺,死,冠帶,冠帶,冠帶,帝旺,死,絕,冠帶,冠帶,冠帶,長生,絕
105,2025-05-05 04:44:05.271451+08:00,2025-05-05 04:44:05.271451+08:00,HSI,丙寅,甲戌,己卯,辛未,乙未,乙巳,庚子,庚寅,癸巳,甲戌,己未,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,2907731220767766301,2025-06-03 20:44:24.653074+08:00,2025,5,5,4,0,2,False,False,False,False,False,False,125,19,丙,寅,0.951057,0.309017,0.866025,0.5,甲,戌,0,1,-0.866025,0.5,己,卯,1.22465e-16,-1,1,6.12323e-17,辛,未,-0.951057,-0.309017,-0.5,-0.866025,乙,未,0.587785,0.809017,-0.5,-0.866025,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,庚,寅,-0.587785,-0.809017,0.866025,0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,墓庫,衰,衰,臨官,長生,沐浴,衰,墓庫,墓庫,胎,沐浴,胎,冠帶,衰,衰,死,胎,帝旺,墓庫,養,養,沐浴,帝旺,死,養,冠帶,冠帶,帝旺,死,絕,衰,冠帶,冠帶,長生,絕
106,2025-05-06 04:44:05.271451+08:00,2025-05-06 04:44:05.271451+08:00,HSI,戊寅,乙亥,庚辰,癸未,辛巳,乙巳,庚子,丙子,乙巳,乙亥,辛巳,乙午,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4803406369278733890,2025-06-03 20:44:24.653074+08:00,2025,5,6,4,1,2,False,False,False,False,False,False,126,19,戊,寅,0.587785,-0.809017,0.866025,0.5,乙,亥,0.587785,0.809017,-0.5,0.866025,庚,辰,-0.587785,-0.809017,0.866025,-0.5,癸,未,-0.587785,0.809017,-0.5,-0.866025,辛,巳,-0.951057,-0.309017,0.5,-0.866025,乙,巳,0.587785,0.809017,0.5,-0.866025,庚,子,-0.587785,-0.809017,0,1,丙,子,0.951057,0.309017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,絕,衰,臨官,臨官,胎,沐浴,帝旺,墓庫,胎,胎,臨官,胎,沐浴,衰,死,死,長生,帝旺,死,養,沐浴,沐浴,病,死,胎,冠帶,帝旺,帝旺,絕,絕,病,冠帶,長生,長生,死
